Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Орлик,Богуслав,Леонідович,Чоловіча,16-06-1981,Економіст,село Кипуче,"проспект Політкаторжан, буд. 318 кв. 85, Бердичів, 92316",632 35 82,wruban@example.org
Башполченко,Аарон,Болеславович,Чоловіча,25-05-2004,Будник,хутір Конотоп,"вулиця Тролейбусна, буд. 3 кв. 02, Львів, 60226",020 987-96-62,vartymovych@example.com
Щербак,Роман,Панасович,Чоловіча,20-08-1995,Хореограф,хутір Соснівка,"проспект Карантинний узвіз, буд. 259, Сіверськодонецьк, 61010",187 13 99,chervonenkoorest@example.net
Закусило,Павло,Русланович,Чоловіча,20-12-1993,Графік,селище Шептицький,"узвіз Володимира Антоновича, буд. 801, Багачеве, 77953",+380 94 037-07-15,amaliiaandriievych@example.net
Гук,Панас,Олександрович,Чоловіча,15-05-1991,Письменник,селище Новгород-Сіверський,"набережна Львівська, буд. 06, Мостиська, 87992",058 491 76 63,ddrobakha@example.org
Яремчук,Святослав,Глібович,Чоловіча,26-07-1987,Електротехнік,хутір Яремче,"шосе Лінія 53-тя, буд. 82, Хорол, 94892",429-65-38,mykolaistus@example.net
Вернидуб,Федір,Соломонович,Чоловіча,02-08-1977,Головний меркшейдер,місто Сіверськ,"вулиця Десантний, буд. 28 кв. 08, Коростишів, 39579",769 33 44,liza22@example.org
Голобородько,Юхим,Гордійович,Чоловіча,10-06-1972,Науковець,село Благовіщенське,"площа Академіка Липського, буд. 38 кв. 09, Олешки, 94947",+380 (72) 371-91-77,sviatoslava38@example.net
Бебешко,Михайло,Хомович,Чоловіча,02-05-1986,Підприємець,селище Соледар,"шосе Краснослобідська, буд. 75 кв. 58, Сокаль, 17784",430 68 32,romanetsleon@example.net
Вахній,Феофан,Ігнатович,Чоловіча,29-11-1986,Гірник,село Павлоград,"парк Глухівський, буд. 788 кв. 5, Рені, 54452",+380 (17) 259-57-79,iarema99@example.com
Носаченко,Тимофій,Амвросійович,Чоловіча,26-11-1973,Фізик,місто Стрий,"проспект Осипова, буд. 344, Ірпінь, 97573",+380 (73) 642-75-07,omeliankolesnychenko@example.com
Даниленко,Омелян,Охрімович,Чоловіча,26-06-1961,Агроном,селище Кам'янець-Подільський,"провулок Рибальська балка, буд. 722, Хорол, 67064",+380 06 128-99-30,ruslanruban@example.net
Жарко,Дан,Охрімович,Чоловіча,29-11-1953,Маркетолог,хутір Хмельницький,"вулиця Черкаська, буд. 50, Карлівка, 64048",067 345 80 06,slahoda@example.org
Базилевський,Василь,Пилипович,Чоловіча,29-05-1955,Астроном,село Кам'янець-Подільський,"парк Текстильників, буд. 0, Городенка, 35717",+380 85 968-82-89,ihnatnazarenko@example.net
Жаліло,Назар,Данилович,Чоловіча,30-04-1946,Патологоанатом,місто Корюківка,"узвіз Лиманчик 2-й Лінія 4-та, буд. 146 кв. 267, Чорноморськ, 48511",063 749 35 69,arkadii70@example.net
Гавришкевич,Демид,Амвросійович,Чоловіча,27-08-1968,Гінеколог,селище Новоград-Волинський,"проспект Полтавська, буд. 0, Звенигородка, 07966",068 221-95-72,derkachazar@example.org
Саєнко,Ігор,Орхипович,Чоловіча,21-04-1955,Кушнір,село Татарбунари,"шосе Ювілейний 1-й, буд. 0, Знам'янка, 08547",+380 16 322-86-55,babiakkyrylo@example.org
Ковпак,Юхим,Алевтинович,Чоловіча,12-09-1949,Кінокритик,село Кам'янка-Бузька,"проспект Хлібна гавань, буд. 199 кв. 5, Мостиська, 36841",+380 82 905 16 74,ihorchalenko@example.com
Царенко,Адам,Тарасович,Чоловіча,17-07-1967,Філолог,село Белз,"площа Левкоєва, буд. 0 кв. 59, Нова Одеса, 03254",085 103-00-91,marko66@example.org
Макогон,Юхим,Васильович,Чоловіча,20-09-1981,Бібліограф,село Галич,"вулиця Лінія 27-ма, буд. 0 кв. 1, Хирів, 58532",+380 (90) 655-76-69,tetianaaleksiuk@example.org
Гайдай,Арсен,Арсенович,Чоловіча,13-12-1976,Географ,село Фастів,"вулиця Садовського, буд. 77 кв. 233, Жовква, 63679",+380 02 726-45-95,hordii11@example.net
Вітрук,Герман,Панасович,Чоловіча,22-07-1987,Машиніст,селище Остер,"провулок Саймона Літмана, буд. 88 кв. 3, Бобринець, 10211",170 60 50,velychkooleksa@example.net
Чміль,Віталій,Остапович,Чоловіча,22-10-1940,Машиніст,місто Южне,"шосе Аеродромний 2-й, буд. 22, Євпаторія, 12915",+380 46 814-81-64,aaron65@example.org
Батіг,Ілля,Остапович,Чоловіча,03-10-1991,Професор,селище Кодима,"набережна Ялинковий, буд. 30 кв. 624, Знам'янка, 91417",301 70 93,symonenkopetro@example.net
Власюк,Лесь,Стефанович,Чоловіча,22-01-1955,Нотаріус,село Гнівань,"вулиця Селекційна, буд. 148 кв. 864, Берислав, 29195",+380 43 965 13 28,phavryliuk@example.org
Опанасенко,Микита,Прохорович,Чоловіча,16-11-1958,Кушнір,місто Камінь-Каширський,"сквер Львівська, буд. 6 кв. 849, Монастириська, 14045",+380 95 144 46 68,ppavlenko@example.net
Приходько,Дмитро,Орестович,Чоловіча,18-08-2002,Композитор,село Скалат,"узвіз Сміливий, буд. 7 кв. 8, Вовчанськ, 17320",059 990-44-64,romanvertyporokh@example.com
Вдовиченко,Трохим,Омелянович,Чоловіча,09-07-1978,Флорист,місто Богодухів,"площа Естонська, буд. 26 кв. 631, Пирятин, 56869",055 678-56-21,iderhach@example.net
Панчук,Варфоломій,Бориславович,Чоловіча,20-02-1950,Дипломат,місто Миколаїв,"проспект Сірожупанників, буд. 02, Маріуполь, 55279",+380 95 874-07-78,vasylkarpenko@example.net
Дубас,Ігор,Миколайович,Чоловіча,07-04-1962,Астронавт,село Рені,"проспект Лінійна, буд. 64, Новодністровськ, 52100",906-06-31,illia67@example.net
Непорожній,Йосип,Михайлович,Чоловіча,25-01-1960,Співак,село Святогірськ,"вулиця Авангардна, буд. 6, Славутич, 95427",+380 26 456 18 41,javramenko@example.net
Іващенко,Руслан,Орхипович,Чоловіча,22-07-1963,Публіцист,село Лисичанськ,"шосе Пейзажна, буд. 161, Тульчин, 64363",014 670-17-74,iaryna39@example.net
Масоха,Арсен,Вʼячеславович,Чоловіча,16-12-1940,Стиліст,хутір Корюківка,"площа Лінія 53-тя, буд. 063 кв. 87, Лутугине, 25994",+380 47 465-47-05,tdashenko@example.org
Єсипенко,Варфоломій,Русланович,Чоловіча,28-05-1955,Гінеколог,місто Охтирка,"проспект Музична, буд. 79, Українка, 86438",+380 11 308-85-59,mshtepa@example.net
Ємець,Теодор,Несторович,Чоловіча,07-06-1941,Бізнесмен,село Хуст,"парк Разумовська, буд. 6, Марганець, 18140",+380 49 743-87-95,oryna77@example.net
Яценюк,Олесь,Вікторович,Чоловіча,23-09-1943,Льотчик,місто Іллінці,"шосе Окружна, буд. 73 кв. 2, Верхівцеве, 72658",033 336-91-57,havryliukleon@example.com
Зінченко,Петро,Олесьович,Чоловіча,30-04-1982,Кур'єр,село Зимогір'я,"шосе Академіка Заболотного, буд. 261 кв. 225, Могилів-Подільський, 70597",+380 41 083 39 44,albertbashtan@example.net
Вергун,Орхип,Тарасович,Чоловіча,19-12-1955,Стоматолог,село Тараща,"парк Самодіяльна, буд. 20, Олешки, 16272",045 999 21 88,whrechko@example.org
Сіробаба,Остап,Соломонович,Чоловіча,10-02-1984,Кіноактор,селище Шептицький,"парк Студена, буд. 627 кв. 4, Івано-Франківськ, 12187",+380 46 278-52-41,danokhrymovych@example.org
Якимчук,Климент,Павлович,Чоловіча,14-02-1942,Модель,хутір Глухів,"шосе Богуна, буд. 631 кв. 2, Харків, 70129",045 40 06,ieremenkooryna@example.net
Іващенко,Степан,Яремович,Чоловіча,29-12-1941,Різноробочий,селище Новоград-Волинський,"вулиця Лінія 33-тя, буд. 52 кв. 286, Дубно, 50198",+380 (91) 808-39-61,alinachubai@example.org
Бевзенко,Федір,Венедиктович,Чоловіча,27-11-1945,Акушер,село Гірник,"узвіз Лінія 52-га, буд. 889 кв. 9, Іршава, 38224",+380 92 567-47-62,qkhrystych@example.net
Колісниченко,Альберт,Сергійович,Чоловіча,27-11-1954,Етнограф,місто Бердянськ,"набережна Яблунева, буд. 4, Бурштин, 45416",074 734 99 68,lvitruk@example.org
Гузенко,Аврелій,Йосипович,Чоловіча,13-08-1974,Електрослюсар,селище Зеленодольськ,"парк Кафедральна, буд. 3, Тернопіль, 14076",549-65-52,mariiahuk@example.net
Притула,Ігор,Ярославович,Чоловіча,15-02-1958,Музикознавець,хутір Долинська,"вулиця Десантний, буд. 5, Нове Давидково, 09344",+380 47 880 36 61,hryhorii80@example.net
Лазаренко,Демʼян,Микитович,Чоловіча,10-04-1996,Антрополог,хутір Стрий,"сквер Ліверпульський, буд. 51 кв. 7, Білозерське, 59780",098 809-50-11,halyna55@example.org
Павличенко,Богодар,Глібович,Чоловіча,05-07-1991,Парфюмер,селище Трускавець,"набережна Андрія Гулого-Гуленка, буд. 160 кв. 77, Житомир, 10273",+380 (60) 393-49-51,drobiazkoiefrem@example.com
Євдокименко,Симон,Євгенійович,Чоловіча,08-01-1954,Секретар,селище Пологи,"вулиця Сергія Параджанова, буд. 121 кв. 121, Нововолинськ, 23796",+380 (85) 848-62-48,qrudko@example.com
Шморгун,Степан,Антонович,Чоловіча,21-06-1982,Сантехнік,хутір Павлоград,"сквер Хаджибейський 1-й, буд. 687, Городня, 27842",504-48-18,arkadiizhaivoron@example.com
Фаренюк,Єлисей,Григорійович,Чоловіча,06-05-2002,Диригент,село Луганськ,"сквер Чернігівська, буд. 9 кв. 3, Шепетівка, 66021",+380 60 786-48-00,deriazhnaboleslav@example.org
Михайличенко,Прохір,Петрович,Чоловіча,21-07-1997,Фермер,село Стрий,"проспект 12-та ст. Великого Фонтану пляж, буд. 52, Мукачево, 75133",131-29-14,parmensmyk@example.com
Непорожній,Віктор,Артемович,Чоловіча,13-12-1940,Мистецтвознавець,місто Кам'янка-Бузька,"набережна Кінна, буд. 57 кв. 613, Виноградів, 28877",721-93-61,nshyian@example.com
Баштан,Єфрем,Григорійович,Чоловіча,23-10-1999,Стропальник,хутір Снятин,"проспект Цегельнозаводська, буд. 211 кв. 73, Довжанськ, 07530",+380 (11) 244-34-68,romanetskhrystyna@example.org
Євтушенко,Дан,Стефанович,Чоловіча,21-03-1979,Журналіст,село Шаргород,"провулок Уральська, буд. 27, Новояворівськ, 80732",+380 67 807 69 16,pavramchuk@example.net
Захаренко,Венедикт,Остапович,Чоловіча,01-05-1967,Антрополог,хутір Охтирка,"узвіз Шевченка парк, буд. 29 кв. 01, Кіцмань, 71920",+380 65 936 83 46,msavenko@example.net
Дубина,Степан,Пилипович,Чоловіча,30-05-1962,Провізор,село Василівка,"шосе Сосюри, буд. 7, Ананьїв, 37927",958-39-67,mazuranastasiia@example.net
Матяш,Давид,Пантелеймонович,Чоловіча,17-10-1947,Письменник,хутір Хорол,"парк Стовпова, буд. 43 кв. 287, Городня, 06450",002 293 68 40,demianchukherman@example.com
Ющенко,Сергій,Бориславович,Чоловіча,06-10-1944,Ботанік,село Антрацит,"проспект Нафтовиків 1-й, буд. 1, Рогатин, 92863",811-39-78,mshyian@example.net
Чередник,Альберт,Леонідович,Чоловіча,15-08-1972,Фотограф,селище Верхівцеве,"узвіз Цементний, буд. 7, Волноваха, 82763",+380 (16) 549-90-05,tetiana18@example.org
Конопленко,Амвросій,Кирилович,Чоловіча,19-06-1999,Археолог,село Обухів,"вулиця Бітумна, буд. 75, Канів, 64224",+380 93 056 33 21,stefan73@example.org
Свистун,Яків,Аврелійович,Чоловіча,06-08-1978,Журналіст,село Олешки,"шосе Учительський, буд. 739 кв. 1, Світлодарськ, 92079",+380 60 782 25 66,zzaruba@example.net
Свириденко,Геннадій,Теодорович,Чоловіча,10-12-1947,Гірничий інженер,селище Мала Виска,"набережна Удільний, буд. 8 кв. 4, Полонне, 85450",025 533-19-38,riabchenkoalevtyn@example.org
Швайка,Трохим,Прохорович,Чоловіча,02-08-1982,Соціолог,селище Одеса,"площа Ткачова, буд. 26, Міусинськ, 95299",+380 74 081-61-71,hupaloodarka@example.net
Шиян,Варфоломій,Устимович,Чоловіча,22-03-2002,Сценарист,село Енергодар,"узвіз Дачна, буд. 02 кв. 6, Подільськ, 10703",+380 00 911-70-22,ustenkosymon@example.net
Фурс,Йосип,Ростиславович,Чоловіча,23-09-1987,Епідеміолог,селище Полтава,"парк Дур'янівський, буд. 805 кв. 9, Пологи, 91167",+380 (61) 314-44-79,conufriienko@example.com
Корж,Спас,Болеславович,Чоловіча,31-10-1997,Підприємець,хутір Вільнянськ,"шосе Миколаївський 1-й, буд. 424 кв. 7, Мукачево, 11290",042 141-70-21,edyta27@example.org
Гриценко,Лукʼян,Федорович,Чоловіча,16-12-1968,Вчитель,село Горлівка,"проспект Ізюмська, буд. 44 кв. 944, Олевськ, 04767",+380 93 353 90 02,iakivvasylevych@example.com
Макогон,Марко,Віталійович,Чоловіча,12-11-1993,Музикознавець,хутір Сарни,"сквер Зелений, буд. 854 кв. 84, Коростишів, 23357",+380 13 411-48-50,udemydenko@example.net
Кармалюк,Віталій,Назарович,Чоловіча,22-07-1998,Дерун,місто Бобринець,"площа Мирна, буд. 9, Трускавець, 57380",+380 44 388-50-84,rozaliiabhydenko@example.net
Міщенко,Дан,Хомович,Чоловіча,28-04-1960,Водій,місто Білицьке,"вулиця Дачний 1-й, буд. 0 кв. 7, Рогатин, 35946",039 292 18 57,pushkarvalerii@example.org
Проценко,Олександр,Захарович,Чоловіча,16-06-1996,Шериф,місто Винники,"площа Ф. Пішеніна, буд. 0 кв. 196, Богодухів, 56745",+380 83 890-26-91,odarka08@example.net
Титаренко,Феофан,Єфремович,Чоловіча,08-06-1986,Письменник,село Мала Виска,"проспект Юннатів 2-й, буд. 0, Новодружеськ, 51344",+380 19 229-36-19,tshyian@example.org
Ковалюк,Олекса,Андрійович,Чоловіча,04-03-1992,Бухгалтер,місто Жовті Води,"шосе Вокзальна, буд. 36 кв. 0, Буринь, 54373",+380 75 653 43 66,liashkozakhar@example.com
Даниленко,Амвросій,Леонтійович,Чоловіча,25-12-1949,Вчитель,місто Конотоп,"проспект 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 7 кв. 5, Жданівка, 33199",268 28 95,makarenkovolodymyr@example.org
Охримович,Варфоломій,Олегович,Чоловіча,16-11-1939,Електромонтажник,місто Севастополь,"проспект Барвінковий, буд. 223 кв. 2, Нова Одеса, 76279",361-52-03,huziipanteleimon@example.net
Лесик,Єлисей,Гордійович,Чоловіча,13-04-1947,Ботанік,місто Джанкой,"площа Отамана Головатого, буд. 9 кв. 02, Шахтарське, 56565",026 425 74 73,imishchenko@example.com
Павлик,Веніямин,Назарович,Чоловіча,21-09-1957,Гірничий інженер,село Іловайськ,"сквер Партизанської слави, буд. 15, Тячів, 88316",482-45-33,levkomakohon@example.com
Єрошенко,Омелян,Леонтійович,Чоловіча,14-10-1939,Етнограф,село Соснівка,"провулок Госпітальєрів, буд. 12 кв. 48, Хрестівка, 73431",+380 69 037 20 26,pylyp84@example.net
Піддубний,Йосип,Артемович,Чоловіча,29-01-1971,Кінокритик,селище Дружківка,"шосе Цементний, буд. 5, Сімферополь, 14169",261-16-59,demianiukarsen@example.net
Єрьоменко,Єфрем,Мирославович,Чоловіча,28-11-1985,Мікробіолог,селище Горохів,"вулиця М’ясоєдовська, буд. 269, Сніжне, 94582",233 24 72,yruban@example.com
Ґерета,Болеслав,Йосипович,Чоловіча,19-12-1973,Журналіст,село Макіївка,"набережна Деревообробний 4-й, буд. 9 кв. 350, Каховка, 46598",+380 84 270-26-92,karmaliukodarka@example.com
Вовк,Ігор,Леонтійович,Чоловіча,16-01-1942,Будник,місто Вишневе,"площа Айвазовського, буд. 68, Волноваха, 09652",+380 74 048 30 19,skozachenko@example.net
Лесик,Віктор,Стефанович,Чоловіча,28-09-1965,Льотчик,хутір Звенигородка,"вулиця Академіка Сахарова, буд. 6 кв. 839, Кролевець, 07245",078 240-03-84,ozatovkaniuk@example.com
Цісик,Веніямин,Миронович,Чоловіча,03-08-1996,Стиліст,селище Гайсин,"провулок Леха Качинського, буд. 249, Погребище, 44144",+380 44 487-75-06,odarkahavrylyshyn@example.net
Яремчук,Дан,Ігнатович,Чоловіча,31-01-1956,Гицель,селище Тячів,"провулок Василя Капніста, буд. 917, Армянськ, 16403",785-99-83,stanislav98@example.org
Лавренко,Зиновій,Альбертович,Чоловіча,24-08-1962,Музикознавець,хутір Старокостянтинів,"площа Разумовська, буд. 7, Чернігів, 71712",079 721-44-91,varfolomii50@example.net
Лавренко,Варфоломій,Бориславович,Чоловіча,11-12-1973,Підприємець,місто Привілля,"шосе Іподромний, буд. 6, Мена, 21112",759 33 04,filipenkoolena@example.com
Сагаль,Феофан,Орхипович,Чоловіча,13-08-1942,Кухар,місто Пологи,"площа Романтиків, буд. 870, Жашків, 03121",+380 (00) 256-76-08,ebabiichuk@example.com
Цюцюра,Гаврило,Вікторович,Чоловіча,13-07-1963,Філолог,селище Сватове,"площа Шполянська, буд. 92 кв. 8, Рені, 11124",+380 99 119-53-34,anastasiiadanylenko@example.net
Ященко,Трохим,Азарович,Чоловіча,26-09-2001,Клоун,селище Заставна,"вулиця Карпенка-Карого, буд. 624 кв. 163, Тячів, 33269",+380 37 058-33-66,czubko@example.net
Саченко,Хома,Пилипович,Чоловіча,25-04-1974,Економіст,хутір Бахмут,"узвіз Пересипська 2-га, буд. 1, Старобільськ, 92950",425-06-31,aleksiukhalyna@example.org
Фастенко,Ярослав,Ярославович,Чоловіча,15-04-1939,Громадський діяч,село Бунге,"шосе Бузкова, буд. 645, Охтирка, 49243",004 002 78 51,priskavyshyvanyi@example.net
Баштан,Мирон,Назарович,Чоловіча,14-02-2007,Перекладач,селище Здолбунів,"вулиця Гвоздичний, буд. 88, Отаманівка, 52114",+380 (25) 869-02-27,kashchenkooles@example.net
Вдовиченко,Едуард,Віталійович,Чоловіча,18-10-1969,Дипломат,місто Чоп,"площа Поїзна, буд. 2 кв. 4, Болград, 92163",+380 25 276 73 03,romanetsazar@example.net
Мірошниченко,Юстим,Зиновійович,Чоловіча,27-03-1957,Антрополог,село Мерефа,"парк Лазурний 5-й, буд. 67, Жашків, 26486",041 238-05-33,dankivmaksym@example.net
Вдовиченко,Пилип,Данилович,Чоловіча,21-09-1980,Астронавт,місто Іршава,"шосе Дунайська, буд. 9, Бориспіль, 02625",029 997-97-94,khoma62@example.net
Петрик,Альберт,Миронович,Чоловіча,16-11-1997,Петрограф,селище Лиман,"узвіз Складська, буд. 033 кв. 51, Донецьк, 43955",307-15-21,hennadiimykhailiuk@example.org
Дзиндра,Демид,Степанович,Чоловіча,08-09-1972,Кінорежисер,хутір Молочанськ,"провулок Матроська Слободка , буд. 427 кв. 29, Хотин, 82617",715-74-24,myronsahal@example.com
Терещенко,Володимир,Симонович,Чоловіча,29-11-2000,Доцент,місто Березне,"узвіз Об'їзна дорога, буд. 429, Білогірськ, 68361",068 032 43 39,babychherman@example.org
Килимник,Азар,Макарович,Чоловіча,27-08-1959,Географ,село Дружківка,"узвіз Дубова, буд. 40 кв. 5, Антрацит, 01517",+380 (65) 384-65-62,kyrylenkoeduard@example.com
Вітер,Олесь,Андрійович,Чоловіча,17-04-2008,Письменник,хутір Камінь-Каширський,"вулиця Бугаївська, буд. 04 кв. 452, Долинська, 87285",182 37 93,mmishchenko@example.net
Артимович,Борис,Зорянович,Чоловіча,11-06-1971,Громадський діяч,місто Львів,"провулок Пироговський, буд. 832, Сватове, 19373",+380 (87) 378-23-72,kalchenkopanas@example.net
Царенко,Леопольд,Антонович,Чоловіча,02-06-1955,Піаніст,селище Довжанськ,"шосе Тролейбусна, буд. 5, Зоринськ, 31315",+380 77 066 67 99,albina70@example.com
Гайворонський,Гаврило,Азарович,Чоловіча,02-05-1949,Мірошник,місто Сновськ,"парк Суднобудівний, буд. 8, Кременчук, 01400",296 39 00,viacheslavsaienko@example.net
Гузь,Валентин,Варфоломійович,Чоловіча,24-03-1972,Модель,місто Миргород,"набережна Улицька, буд. 6, Бахчисарай, 11360",+380 05 728-88-59,pkovalenko@example.com
Фоменко,Олег,Дмитрович,Чоловіча,29-06-1995,Ді-джей,село Балта,"вулиця Партизанської слави, буд. 5, Болград, 41389",511 67 38,petro76@example.com
Рябченко,Омелян,Сергійович,Чоловіча,04-05-1960,Хімік,село Долинська,"парк Левкоєва, буд. 24, Винники, 26244",+380 (59) 760-06-68,eivanenko@example.com
Атрощенко,Мирослав,Яремович,Чоловіча,12-03-1994,Математик,село Мар'їнка,"узвіз Головна, буд. 63, Рудки, 98545",+380 54 532 73 17,davyd20@example.net
Червоненко,Охрім,Євгенійович,Чоловіча,21-09-1962,Менеджер,село Гребінка,"шосе Довженка, буд. 49 кв. 48, Новоукраїнка, 81473",+380 13 335-10-24,serhii97@example.org
Івасюк,Роман,Павлович,Чоловіча,23-03-1968,Живописець,село Сокиряни,"парк Миколи Плигуна, буд. 7, Ужгород, 14404",+380 70 942 04 87,petrobabenko@example.net
Стельмах,Азар,Сергійович,Чоловіча,06-12-1998,Кінорежисер,селище Сновськ,"провулок Андрія Музичка, буд. 761 кв. 710, Гуляйполе, 27565",095 603 89 22,venedykt35@example.com
Іщак,Мартин,Яремович,Чоловіча,30-03-1948,Живописець,місто Гадяч,"сквер Керченський 1-й, буд. 13, Бахчисарай, 56939",+380 03 615-20-96,drozdenkoanzhela@example.org
Наливайко,Ростислав,Ааронович,Чоловіча,03-12-1957,Промисловець,село Богодухів,"узвіз Ігоря Бедзая, буд. 536, Вишневе, 32462",049 037-19-12,pavlohohol-ianovska@example.org
Філіпенко,Іван,Панасович,Чоловіча,05-04-1985,Візажист,селище Умань,"провулок Бернардацці, буд. 22, Канів, 62407",+380 58 213 93 12,pavlo11@example.com
Бездітко,Геннадій,Федорович,Чоловіча,24-11-1958,Менеджер,село Щолкіне,"узвіз Радіальний, буд. 93 кв. 98, Генічеськ, 97998",+380 (82) 598-96-27,klymentnehoda@example.net
Тихий,Азар,Амвросійович,Чоловіча,20-10-1954,Мірошник,хутір Решетилівка,"узвіз Кишинівська, буд. 605, Павлоград, 44388",+380 86 969-89-46,nhohol-ianovska@example.net
Макогон,Миколай,Олександрович,Чоловіча,07-03-1999,Публіцист,місто Ровеньки,"набережна Лятошинського, буд. 54, Прип'ять, 55491",056 453 11 84,iarynarudyk@example.net
Дубина,Богуслав,Романович,Чоловіча,21-01-1959,Письменник,хутір Обухів,"набережна Різницький, буд. 37 кв. 651, Ірпінь, 90278",409-40-13,mariia81@example.com
Христич,Остап,Сергійович,Чоловіча,12-09-1975,Професор,місто Гнівань,"набережна Раїси Сергієнко, буд. 83, Луганськ, 95825",042 767-68-67,yvlasenko@example.net
Бабій,Демид,Васильович,Чоловіча,10-06-1997,Географ,місто Лозова,"шосе Миколи Кравченка, буд. 67 кв. 423, Запоріжжя, 23874",+380 (25) 252-84-18,gerussvitlana@example.org
Яковенко,Сергій,Єфремович,Чоловіча,31-05-1963,Біолог,селище Шахтарськ,"парк Хортицька, буд. 94, Глобине, 39608",+380 (40) 234-50-65,uazhazha@example.net
Каденюк,Олег,Охрімович,Чоловіча,25-11-1948,Доцент,хутір Лохвиця,"набережна Докова, буд. 60 кв. 4, Антрацит, 70628",+380 (85) 864-13-61,deisundemyd@example.com
Корбут,Арсен,Стефанович,Чоловіча,13-05-1985,Вчитель,село Устилуг,"провулок Костанді 2-й, буд. 93, Мена, 16749",+380 00 868-43-66,davyd82@example.net
Заєць,Микита,Яковович,Чоловіча,01-01-1949,Географ,селище Лутугине,"площа Південна дорога, буд. 6, Перевальськ, 08104",+380 99 011-54-49,mariana43@example.net
Свистун,Йосип,Олексович,Чоловіча,18-05-1962,Науковець,селище Тетіїв,"проспект Дністровська, буд. 6, Ізмаїл, 26308",381-82-24,drobakhasolomiia@example.net
Онищенко,Дан,Владиславович,Чоловіча,03-07-1984,Піаніст,село Вишгород,"узвіз Юрія Асєєва, буд. 60 кв. 6, Дубляни, 22922",+380 87 531-76-57,mazurvadym@example.net
Усик,Станіслав,Вікторович,Чоловіча,16-10-1999,Піаніст,місто Ромни,"набережна Осипова, буд. 7, Нова Одеса, 63362",+380 85 372 33 83,wasaula@example.org
Худяк,Данило,Симонович,Чоловіча,16-02-1944,Архітектор,село Очаків,"проспект Шкільний аеродром, буд. 323 кв. 656, Харків, 59798",+380 43 235-30-39,oleksababiuk@example.org
Іщенко,Едуард,Лукʼянович,Чоловіча,13-02-1990,Композитор,селище Одеса,"набережна Проектна 1-ша, буд. 6 кв. 0, Гадяч, 86988",+380 42 023 07 72,isaienkobohdan@example.net
Бевзенко,Демид,Пантелеймонович,Чоловіча,05-04-2006,Кінолог,хутір Южне,"набережна Гонсіоровського, буд. 525 кв. 527, Ковель, 99723",+380 34 093 16 75,iemetsbohuslava@example.net
Михайличенко,Прохір,Азарович,Чоловіча,18-07-1948,Кінолог,село Українськ,"шосе Азовський, буд. 66, Винники, 84520",002 987 17 94,tkachiarema@example.com
Ващенко,Богуслав,Валентинович,Чоловіча,26-03-1972,Парфюмер,селище Гадяч,"вулиця Калинова, буд. 1 кв. 960, Токмак, 32673",+380 66 312-16-01,miroshnychenkokyrylo@example.net
Абраменко,Олег,Валентинович,Чоловіча,17-03-1951,Стропальник,хутір Марганець,"проспект Андрія Гулого-Гуленка, буд. 69, Бар, 30620",849-42-99,yzakharchenko@example.net
Романець,Данило,Миронович,Чоловіча,29-09-1970,Промисловець,місто Сокаль,"проспект Сабанський, буд. 075 кв. 47, Попасна, 74805",+380 95 813 44 20,oleh58@example.net
Дробʼязко,Кирило,Федорович,Чоловіча,05-09-1958,Сценарист,місто Житомир,"узвіз Китобійний 1-й, буд. 35, Гола Пристань, 75314",256-84-73,havryshroksolana@example.com
Усик,Володимир,Бориславович,Чоловіча,01-10-1945,Ювелір,місто Хрестівка,"провулок Кобзаря, буд. 803 кв. 8, Зоринськ, 33608",+380 66 760-12-75,petliuramariana@example.com
Малишко,Віктор,Святославович,Чоловіча,12-02-1954,Етнограф,селище Теплодар,"площа Тарутинська, буд. 850, Вовчанськ, 95635",204 77 47,jtychyna@example.com
Андрусенко,Антон,Зорянович,Чоловіча,17-11-1955,Письменник,село Самбір,"вулиця Вірського, буд. 936 кв. 41, Сокологірськ, 64725",564 21 06,avramenkomakar@example.com
Андрієвич,Зиновій,Русланович,Чоловіча,25-10-2006,Драматург,місто Бахчисарай,"парк 411-ї батареї, буд. 8, Кобеляки, 03991",+380 64 931-62-06,demian20@example.org
Андрощук,Алевтин,Петрович,Чоловіча,06-08-2008,Фермер,місто Носівка,"провулок Південна дорога, буд. 57, Тростянець, 90171",+380 34 770-60-28,hsomko@example.net
Ґалаґан,Гліб,Валерійович,Чоловіча,25-05-1961,Паблік рилейшнз,селище Кам'янка (Черкаська область),"провулок Десятого квітня, буд. 855, Хирів, 58272",+380 51 870 29 87,iukhym78@example.org
Гавриш,Артем,Прохорович,Чоловіча,19-06-1964,Кур'єр,місто Радомишль,"площа Івана Вазова, буд. 83, Теребовля, 09531",+380 63 055-09-53,sviatoslava03@example.org
Матяш,Гліб,Омелянович,Чоловіча,20-09-1977,Медик,місто Амвросіївка,"парк Осіння, буд. 489, Прип'ять, 49912",+380 63 209-90-13,iaremaalekseienko@example.org
Червоненко,Левко,Леонтійович,Чоловіча,29-10-1967,Зоолог,хутір Вознесенськ,"вулиця Баштанна, буд. 319 кв. 1, Ківерці, 83964",+380 (80) 828-68-69,amaliiagerus@example.com
